Métrica,Modelo,MAE,RMSE,R²,Error (%),Dentro 10%
live weithg,Deep Learning,33.337371826171875,43.80518064598889,0.44979797772883756,7.338673225770293,76.92307692307693
withers height,Deep Learning,2.804783454308143,3.7875699519330164,0.2030829294789014,2.289088373850308,100.0
hip height,Deep Learning,2.772725618802584,3.6431948824548592,0.4348413069258876,2.1702910968162517,100.0
chest depth,Deep Learning,2.568517831655649,3.1097093285352906,0.10804782849036976,4.006265080873465,96.15384615384616
chest width,Deep Learning,3.141894120436448,4.427621172375786,0.19921514470097645,7.135909639938363,88.46153846153845
ilium width,Deep Learning,1.5293916555551381,2.0474236559235055,0.36248506372540457,3.447875192896593,100.0
hip joint width,Deep Learning,2.9146477625920224,3.4108524622568006,0.4744369008931103,6.160687344515249,84.61538461538461
oblique body length,Deep Learning,5.153616685133714,6.518097536975074,0.34988200740141073,3.389056655850276,100.0
hip length,Deep Learning,1.8979332263653095,2.1428998293509833,0.2991182427736392,4.184140418298349,100.0
heart girth,Deep Learning,5.617054865910457,7.501930640539631,0.46137670473042436,3.091517019086925,96.15384615384616
